step,type,amount,nameOrig,oldBalanceOrig,newBalanceOrig,clientID,oldBalanceDest,newBalanceDest,errorBalanceOrig,errorBalanceDest,AvgAmountOfTransaction,isFruad_result,location,clientName
2,1,1096187.24,77163673,1096187.24,0.0,644345897,0.0,1096187.24,0.0,0.0,595234.0069,1,Brazil,منيره القبيسي
144,1,258843.98,962416796,,,644345897,8788459.62,9047303.6,,0.0,595234.0069,0,Brazil,منيره القبيسي
159,1,150491.92,882466857,20864.0,0.0,644345897,9047303.6,9197795.52,129627.92,0.0,595234.0069,0,Brazil,منيره القبيسي
42,0,1023569.82,245083711,,,644345897,3579956.46,4634768.56,,-31242.28,595234.0069,0,Brazil,منيره القبيسي
12,1,1041647.06,169939918,1041647.06,0.0,1673501963,52730.33,1094377.39,0.0,2.33e-10,467980.7806,1,Sudan,إبراهيم العسيري
277,0,825809.86,898210591,234714.68,0.0,1673501963,8411608.41,9237418.28,591095.18,-0.01,467980.7806,0,Sudan,إبراهيم العسيري
164,0,892303.41,748900566,,,1673501963,7733036.67,8545945.16,,79394.92,467980.7806,0,Sudan,إبراهيم العسيري
131,1,398112.01,152574611,,,1673501963,5634457.24,5883420.01,,149149.24,467980.7806,0,Sudan,إبراهيم العسيري
36,0,1411493.93,1370897970,165929.47,0.0,1673501963,3523751.89,4935245.82,1245564.46,0.0,467980.7806,0,Sudan,إبراهيم العسيري
21,1,328219.53,845476961,,,1673501963,2974736.19,3302955.72,,-4.66e-10,467980.7806,0,Sudan,إبراهيم العسيري
8,1,222.0,1737727444,222.0,0.0,588779235,24708.0,171647.35,0.0,-146717.35,457057.6327,1,Germany,أيمن الظواهري
492,1,28122.64,1620489015,899356.0,871233.36,588779235,8742239.85,8770362.49,0.0,0.0,457057.6327,0,Germany,أيمن الظواهري
4,0,2930418.44,2047521920,2930418.44,0.0,449261773,-1.0,-1.0,0.0,2930418.44,2715078.5530000003,1,Yemen,مثنى الضاري
228,1,698212.62,2113345499,12847.0,0.0,449261773,15028945.82,15727158.44,685365.62,0.0,2715078.5530000003,0,Yemen,مثنى الضاري
36,1,36310.75,619325378,,,449261773,9811970.86,9848281.61,,0.0,2715078.5530000003,0,Yemen,مثنى الضاري
524,1,232315.43,1937012052,232315.43,0.0,1933153294,20819035.38,21051350.81,0.0,0.0,631987.875,1,United Kingdom,خالد الفواز
44,1,176543.31,1860044863,,,1933153294,6023099.4,6199642.71,,0.0,631987.875,0,United Kingdom,خالد الفواز
