step,type,amount,nameOrig,oldBalanceOrig,newBalanceOrig,clientID,oldBalanceDest,newBalanceDest,errorBalanceOrig,errorBalanceDest,AvgAmountOfTransaction,isFruad_result,location,clientName
2,1,1096187.24,77163673,1096187.24,0.0,644345897,0.0,1096187.24,0.0,0.0,595234.0069,1,Brazil,منيره القبيسي
12,1,1041647.06,169939918,1041647.06,0.0,1673501963,52730.33,1094377.39,0.0,2.33e-10,467980.7806,1,Sudan,إبراهيم العسيري
8,1,222.0,1737727444,222.0,0.0,588779235,24708.0,171647.35,0.0,-146717.35,457057.6327,1,Germany,أيمن الظواهري
4,0,2930418.44,2047521920,2930418.44,0.0,449261773,-1.0,-1.0,0.0,2930418.44,2715078.5530000003,1,Yemen,مثنى الضاري
524,1,232315.43,1937012052,232315.43,0.0,1933153294,20819035.38,21051350.81,0.0,0.0,631987.875,1,United Kingdom,خالد الفواز
148,1,677563.22,2082620262,677563.22,0.0,492841836,5725307.68,6402870.9,0.0,-9.31e-10,368290.9543,1,Leba,يحيى العبيدي
6,0,25975.86,864622150,25975.86,0.0,41792607,-1.0,-1.0,0.0,25975.86,276985.0894,1,Spain,إبراهيم السامرائي
71,1,62091.44,979329781,62091.44,0.0,1938348365,6296058.91,6358150.35,0.0,9.31e-10,294714.8685,1,Australia,عثمان الغامدي
13,1,1161495.82,165094398,1161495.82,0.0,1966002811,319036.02,1565123.81,0.0,-84591.97,289062.3929,1,Yemen,حجاج العجمي
64,1,3097121.75,1563094045,3097121.75,0.0,1677375515,0.0,3097121.75,0.0,0.0,631044.7467,1,Yemen,جمال عكاشة
12,1,2007.0,1331829443,2007.0,0.0,127509847,129917.8,250910.76,0.0,-118985.96,212429.4295,1,Denmark,محمد الكاشف
56,1,829885.13,1179900921,829885.13,0.0,2021579766,13276462.12,14106347.25,0.0,0.0,386137.4519,1,Lebanon,مريم شعواني          
8,1,1996.17,858959216,1996.17,0.0,864078397,2559.74,4555.92,0.0,-0.01,255058.4536,1,Tunisia, مسلم الصيعري 
6,0,17320.91,788790720,17320.91,0.0,1589547066,-1.0,-1.0,0.0,17320.91,457165.7096,1,Denmark, علي ال مهري
7,0,164.0,1455969984,164.0,0.0,2119910556,-1.0,-1.0,0.0,164.0,318981.2591,1,Ghana, علي الزهراني  
51,1,115881.21,819461207,115881.21,0.0,814886797,4774288.04,4890169.26,0.0,-0.01,418392.6729,1,Iran, هادي اليامي 
117,1,251621.18,1370708725,251621.18,0.0,558976656,8078266.37,8329887.55,0.0,0.0,188655.35,1,United States,عبدالله الشهراني
25,1,217231.0,1847744332,217231.0,0.0,1181708889,7236671.1,7453902.1,0.0,0.0,605387.6065,1,Botswana,علي اليامي
9,1,361559.69,684758020,361559.69,0.0,1769042905,504667.31,189441.24,0.0,676785.76,136637.0162,1,Kuwait,فاطمه اليامي 
18,1,295664.18,1446413189,295664.18,0.0,185805228,10184336.54,10480000.72,0.0,-1.8600000000000002e-09,501743.9623,1,Lebanon, عيد بالحارث
2,1,963532.14,430329518,963532.14,0.0,991505714,132382.57,1095914.71,0.0,0.0,721030.0467,1,Democratic People's Republic of Korea,محمد المهري 
11,1,313418.28,2021456831,313418.28,0.0,157591472,688164.64,1029922.17,0.0,-28339.25,426154.6226,1,Ghana,سايره آل منصور 
